k_s_per_km,kPk_pi_p1_n2,kPk_pi_p2_n2,kPk_pi_p7_n2,kPk_pi_p8_n2,kPk_pi_p9_n2
3.344764e+00,2.251392e-17,1.371456e-10,3.038026e-11,1.802122e-11,5.136406e-11
3.345247e+00,2.295210e-17,1.376340e-10,3.104185e-11,1.764631e-11,5.228801e-11
3.345730e+00,2.274643e-17,1.384537e-10,3.167023e-11,1.768158e-11,5.329741e-11
3.346213e+00,2.319518e-17,1.392690e-10,3.225986e-11,1.790018e-11,5.439007e-11
3.346696e+00,2.298135e-17,1.396574e-10,3.280562e-11,1.805557e-11,5.556259e-11
3.347179e+00,2.308718e-17,1.395008e-10,3.330278e-11,1.794064e-11,5.681070e-11
3.347662e+00,2.274929e-17,1.390166e-10,3.374778e-11,1.743292e-11,5.813184e-11
3.348145e+00,2.280366e-17,1.384914e-10,3.413469e-11,1.651395e-11,5.952330e-11
3.348628e+00,2.272781e-17,1.380166e-10,3.446767e-11,1.533320e-11,6.098180e-11
3.349111e+00,2.286616e-17,1.374997e-10,3.474596e-11,1.409502e-11,6.250048e-11
3.349594e+00,2.297351e-17,1.367939e-10,3.497054e-11,1.303045e-11,6.407375e-11
3.350077e+00,2.292610e-17,1.358189e-10,3.514256e-11,1.234716e-11,6.569436e-11
3.350560e+00,2.293627e-17,1.346265e-10,3.526342e-11,1.218465e-11,6.735386e-11
3.351043e+00,2.279023e-17,1.333423e-10,3.533398e-11,1.258751e-11,6.904116e-11
3.351526e+00,2.314964e-17,1.320239e-10,3.535523e-11,1.349991e-11,7.074345e-11
3.352009e+00,2.316876e-17,1.306047e-10,3.532916e-11,1.478126e-11,7.244643e-11
3.352492e+00,2.293725e-17,1.290111e-10,3.525818e-11,1.623939e-11,7.413419e-11
3.352975e+00,2.310110e-17,1.273072e-10,3.514551e-11,1.767131e-11,7.579118e-11
3.353458e+00,2.266387e-17,1.256811e-10,3.499345e-11,1.887799e-11,7.739634e-11
3.353941e+00,2.312953e-17,1.242124e-10,3.481210e-11,1.976012e-11,7.893599e-11
3.354424e+00,2.346237e-17,1.228201e-10,3.461071e-11,2.028608e-11,8.039485e-11
3.354907e+00,2.299715e-17,1.214559e-10,3.440048e-11,2.049040e-11,8.175725e-11
3.355390e+00,2.305624e-17,1.202709e-10,3.419403e-11,2.045465e-11,8.300806e-11
3.355873e+00,2.360085e-17,1.195124e-10,3.400529e-11,2.028298e-11,8.413347e-11
3.356356e+00,2.360837e-17,1.192748e-10,3.384884e-11,2.007850e-11,8.512108e-11
3.356839e+00,2.340512e-17,1.194324e-10,3.373866e-11,1.992541e-11,8.596062e-11
3.357322e+00,2.333313e-17,1.198245e-10,3.368782e-11,1.988099e-11,8.664400e-11
3.357805e+00,2.327467e-17,1.204310e-10,3.370714e-11,1.997655e-11,8.717105e-11
3.358288e+00,2.311223e-17,1.213207e-10,3.380443e-11,2.022634e-11,8.754463e-11
3.358771e+00,2.337589e-17,1.224940e-10,3.398957e-11,2.064948e-11,8.776504e-11
3.359254e+00,2.345920e-17,1.237727e-10,3.425819e-11,2.124775e-11,8.785717e-11
3.359737e+00,2.304978e-17,1.249861e-10,3.460648e-11,2.203644e-11,8.784282e-11
3.360220e+00,2.290248e-17,1.260451e-10,3.502778e-11,2.303143e-11,8.774656e-11
3.360703e+00,2.351503e-17,1.269279e-10,3.551303e-11,2.423780e-11,8.759493e-11
3.361186e+00,2.346095e-17,1.276281e-10,3.605106e-11,2.563687e-11,8.741610e-11
3.361669e+00,2.313162e-17,1.281329e-10,3.662963e-11,2.717582e-11,8.723882e-11
