k_s_per_km,kPk_pi_p1_0,kPk_pi_p1_1,kPk_pi_p1_2,kPk_pi_p1_n1,kPk_pi_p1_n2
4.409360e-01,2.749052e+02,1.526213e-01,1.948467e+01,7.243083e-01,3.611728e+05
4.426651e-01,2.650493e+02,1.488407e-01,1.920319e+01,7.033613e-01,3.660634e+05
4.443943e-01,2.646465e+02,1.439994e-01,1.889975e+01,6.819297e-01,3.708509e+05
4.461235e-01,2.515582e+02,1.404299e-01,1.879102e+01,6.634399e-01,3.755836e+05
4.478526e-01,2.522052e+02,1.394509e-01,1.872016e+01,6.451245e-01,3.802300e+05
4.495818e-01,2.438310e+02,1.321762e-01,1.844992e+01,6.310430e-01,3.847657e+05
4.513109e-01,2.398008e+02,1.328951e-01,1.861578e+01,6.151521e-01,3.892469e+05
4.530401e-01,2.336350e+02,1.286733e-01,1.847781e+01,5.943691e-01,3.935485e+05
4.547693e-01,2.271291e+02,1.254890e-01,1.830628e+01,5.721248e-01,3.977914e+05
4.564984e-01,2.250915e+02,1.223045e-01,1.812147e+01,5.560947e-01,4.018728e+05
4.582276e-01,2.213501e+02,1.189111e-01,1.804018e+01,5.407706e-01,4.058334e+05
4.599567e-01,2.155616e+02,1.164525e-01,1.753540e+01,5.194331e-01,4.096817e+05
4.616859e-01,2.139773e+02,1.129151e-01,1.742817e+01,4.985195e-01,4.133269e+05
4.634151e-01,2.089111e+02,1.132341e-01,1.726283e+01,4.870440e-01,4.168988e+05
4.651442e-01,2.080844e+02,1.092182e-01,1.690054e+01,4.729495e-01,4.202212e+05
4.668734e-01,2.025933e+02,1.090471e-01,1.672038e+01,4.580264e-01,4.234372e+05
4.686025e-01,2.005498e+02,1.074409e-01,1.674904e+01,4.384260e-01,4.264696e+05
4.703317e-01,1.952321e+02,1.046769e-01,1.626046e+01,4.227389e-01,4.293033e+05
4.720609e-01,1.971978e+02,1.010700e-01,1.621169e+01,4.139770e-01,4.320298e+05
4.737900e-01,1.853417e+02,9.914144e-02,1.555498e+01,4.035068e-01,4.344578e+05
4.755192e-01,1.888047e+02,9.923243e-02,1.580189e+01,3.929222e-01,4.367930e+05
4.772484e-01,1.795641e+02,9.738094e-02,1.541701e+01,3.758460e-01,4.388674e+05
4.789775e-01,1.798998e+02,9.649229e-02,1.511844e+01,3.646548e-01,4.407714e+05
4.807067e-01,1.743807e+02,9.425871e-02,1.485415e+01,3.573629e-01,4.425035e+05
4.824358e-01,1.736701e+02,9.268393e-02,1.463223e+01,3.460408e-01,4.439621e+05
4.841650e-01,1.684821e+02,9.127492e-02,1.457042e+01,3.367775e-01,4.453214e+05
